transaction_id,customer_id,beneficiary_id,device_id,country,amount_usd,hour,is_new_beneficiary,is_cross_border,transactions_last_60m,label_synthetic_fraud
T000052,C0030,B0107,D0160,MY,772.7486198637426,3,1,1,21,1
T000053,C0055,B0020,D0018,HK,94.91,16,0,0,1,0
T000054,C0071,B0206,D0085,US,183.19,1,0,0,3,0
T000055,C0075,B0169,D0149,DE,724.88,20,0,0,2,0
T000056,C0007,B0022,D0086,TH,185.3,0,1,0,2,0
T000057,C0082,B0058,D0151,ID,592.13,13,1,1,1,0
T000058,C0024,B0144,D0168,SG,281.67,11,0,0,3,0
T000059,C0112,B0140,D0085,ID,755.52,12,0,0,1,0
T000060,C0103,B0208,D0011,ID,139.9,22,0,0,2,0
T000061,C0139,B0069,D0061,CN,1620.07,22,1,0,1,0
T000062,C0112,B0240,D0039,TH,91.34,6,0,0,2,0
T000063,C0055,B0116,D0085,TH,68.96,13,0,0,4,0
T000064,C0146,B0214,D0105,HK,44.25,23,0,0,4,0
T000065,C0062,B0062,D0084,CN,1526.95,17,0,0,3,0
T000066,C0049,B0010,D0035,DE,336.79,21,0,1,1,0
T000067,C0136,B0015,D0054,MY,106.26,10,0,0,4,0
T000068,C0056,B0097,D0122,ID,517.51,6,0,0,3,0
T000069,C0012,B0247,D0005,HK,295.21,12,0,0,4,0
T000070,C0071,B0013,D0039,DE,1060.11,19,1,0,3,0
T000071,C0120,B0096,D0160,SG,31.57,22,0,0,1,0
T000072,C0029,B0029,D0018,SG,113.82,16,0,0,2,0
T000073,C0070,B0242,D0075,TH,93.45,16,0,0,3,0
T000074,C0020,B0175,D0038,TH,20.62,12,0,1,2,0
T000075,C0103,B0198,D0019,MY,8672.136920728899,23,1,1,19,1
T000076,C0072,B0185,D0076,US,113.25,10,0,0,1,0
T000077,C0050,B0171,D0001,ID,310.95,11,0,1,2,0
T000078,C0035,B0201,D0032,SG,1571.48,19,1,1,2,0
T000079,C0085,B0003,D0014,CN,104.25,13,0,0,5,0
T000080,C0101,B0225,D0025,CN,97.4,19,0,0,1,0
T000081,C0142,B0192,D0117,HK,167.11,0,0,0,3,0
T000082,C0066,B0192,D0003,CN,398.32,18,0,0,3,0
T000083,C0025,B0102,D0033,SG,84.21,12,0,0,2,0
T000084,C0125,B0208,D0058,US,78.97,23,0,0,6,0
T000085,C0095,B0099,D0062,SG,427.17,11,1,1,4,0
T000086,C0106,B0013,D0065,SG,3604.137701053013,3,1,1,11,1
T000087,C0015,B0236,D0044,ID,19.21,3,0,1,2,0
T000088,C0047,B0061,D0010,ID,43.58,19,0,0,3,0
T000089,C0116,B0027,D0002,DE,665.96,16,0,0,3,0
T000090,C0125,B0162,D0064,HK,221.83,20,1,1,3,0
T000091,C0066,B0061,D0062,ID,69.26,2,0,0,2,0
T000092,C0121,B0223,D0048,US,125.16,5,0,0,6,0
T000093,C0127,B0115,D0167,CN,150.39,21,0,0,3,0
T000094,C0059,B0002,D0110,ID,309.74,1,0,0,1,0
T000095,C0135,B0247,D0075,SG,38.16,12,1,0,1,0
T000096,C0044,B0134,D0037,ID,64.01,9,0,0,4,0
T000097,C0036,B0069,D0144,CN,194.99,22,0,0,4,0
T000098,C0103,B0176,D0160,ID,134.31,20,0,0,2,0
T000099,C0096,B0138,D0002,ID,2739.1629571785047,23,1,1,20,1
T000100,C0021,B0008,D0167,ID,43.4,6,0,0,5,0
T000101,C0125,B0197,D0126,CN,212.12,14,0,0,4,0
T000102,C0030,B0104,D0018,ID,442.12,16,0,0,1,0
T000103,C0121,B0182,D0135,DE,241.49,23,0,0,5,0
T000104,C0002,B0232,D0020,ID,170.56,0,0,0,2,0
T000105,C0120,B0159,D0010,CN,134.84,23,0,0,1,0
T000106,C0119,B0174,D0021,HK,64.4,8,0,0,2,0
T000107,C0118,B0066,D0083,HK,138.1,3,0,0,2,0
T000108,C0100,B0062,D0111,ID,523.07,14,0,1,3,0
T000109,C0071,B0108,D0073,US,131.76,18,0,0,2,0
T000110,C0106,B0221,D0022,NL,60.96,3,0,0,1,0
T000111,C0042,B0136,D0036,ID,90.72,0,0,0,1,0
T000112,C0118,B0091,D0153,ID,181.43,21,1,0,2,0
T000113,C0084,B0202,D0173,MY,102.15,22,0,0,3,0
T000114,C0069,B0222,D0136,CN,241.12,3,0,0,2,0
T000115,C0076,B0234,D0019,ID,250.35,21,1,0,3,0
T000116,C0086,B0078,D0147,ID,361.04,21,0,0,4,0
T000117,C0006,B0184,D0124,CN,616.19,23,0,0,2,0
T000118,C0021,B0153,D0095,GB,401.76,5,0,1,1,0
T000119,C0037,B0117,D0026,CN,58.31,13,0,0,1,0
T000120,C0018,B0103,D0179,MY,60.13,23,0,1,4,0
T000121,C0066,B0030,D0080,HK,137.58,21,0,0,4,0
T000122,C0101,B0072,D0008,SG,94.52,14,0,1,5,0
T000123,C0099,B0143,D0038,HK,47.54,4,0,0,2,0
T000124,C0071,B0230,D0072,SG,95.42,2,0,0,2,0
T000125,C0129,B0225,D0012,ID,92.34,6,1,0,6,0
T000126,C0085,B0049,D0058,ID,75.8,1,0,0,2,0
T000127,C0012,B0176,D0084,SG,108.22,4,0,0,3,0
T000128,C0115,B0022,D0170,GB,482.24,1,1,0,1,0
T000129,C0087,B0175,D0016,ID,181.13,18,0,0,2,0
T000130,C0096,B0089,D0104,SG,30835.58533498194,1,1,1,12,1
T000131,C0085,B0117,D0164,CN,176.0,12,0,1,4,0
T000132,C0084,B0186,D0145,CN,111.04,19,0,0,4,0
T000133,C0014,B0111,D0166,US,149.03,9,0,0,6,0
T000134,C0084,B0210,D0031,DE,191.81,9,0,0,6,0
T000135,C0120,B0139,D0144,GB,229.35,4,0,0,5,0
T000136,C0046,B0259,D0176,ID,1184.07,10,0,1,4,0
T000137,C0091,B0166,D0003,HK,63.73,4,0,0,3,0
T000138,C0005,B0077,D0090,CN,350.39,14,0,0,3,0
T000139,C0053,B0201,D0096,ID,182.68,23,0,0,4,0
T000140,C0066,B0106,D0089,ID,30.84,12,0,0,1,0
T000141,C0148,B0139,D0052,ID,320.76,7,0,0,1,0
T000142,C0033,B0036,D0174,HK,527.22,16,0,1,2,0
T000143,C0042,B0031,D0001,SG,62.98,19,0,0,3,0
T000144,C0062,B0149,D0069,ID,147.09,11,0,0,5,0
T000145,C0149,B0049,D0145,DE,26.43,6,1,0,1,0
T000146,C0129,B0259,D0072,MY,42.15,17,0,0,1,0
T000147,C0006,B0222,D0143,ID,423.28,4,0,1,4,0
T000148,C0036,B0182,D0105,MY,93.09,23,0,0,1,0
T000149,C0124,B0191,D0085,ID,48.97,7,0,0,4,0
T000150,C0009,B0155,D0023,MY,186.69,8,0,0,2,0
T000151,C0129,B0016,D0002,MY,88.02,17,1,0,2,0
T000152,C0043,B0102,D0058,ID,92.68,0,1,0,3,0
T000153,C0138,B0129,D0039,US,310.85,4,0,0,2,0
T000154,C0045,B0238,D0035,TH,46.44,3,0,1,2,0
T000155,C0066,B0057,D0003,MY,60.02,9,0,0,3,0
T000156,C0100,B0129,D0019,TH,173.14,13,0,0,4,0
T000157,C0019,B0090,D0143,CN,391.27,4,0,0,2,0
T000158,C0084,B0035,D0156,ID,511.92,8,0,0,3,0
T000159,C0076,B0027,D0006,DE,76.32,18,0,0,4,0
T000160,C0118,B0095,D0106,CN,378.94,22,1,0,4,0
T000161,C0150,B0022,D0104,CN,67.75,0,0,0,6,0
T000162,C0100,B0018,D0065,SG,11751.102117571461,0,1,1,17,1
T000163,C0062,B0091,D0120,CN,47.76,0,1,0,4,0
T000164,C0061,B0053,D0074,ID,560.3,12,0,0,2,0
T000165,C0063,B0144,D0079,GB,76.98,21,0,0,3,0
T000166,C0123,B0005,D0078,ID,1111.26,19,0,0,2,0
T000167,C0049,B0079,D0144,GB,268.09,5,0,0,3,0
T000168,C0026,B0118,D0114,DE,53.73,6,0,1,2,0
T000169,C0051,B0250,D0068,HK,88.04,18,0,0,4,0
T000170,C0004,B0165,D0166,HK,324.14,19,0,0,2,0
T000171,C0016,B0229,D0144,SG,425.24,6,0,1,3,0
T000172,C0014,B0089,D0167,TH,138.28,0,0,0,3,0
T000173,C0116,B0117,D0131,GB,155.19,10,0,0,2,0
T000174,C0109,B0109,D0071,SG,316.83,14,0,0,1,0
T000175,C0105,B0230,D0139,ID,169.32,10,0,0,4,0
T000176,C0070,B0249,D0059,ID,40.71,22,0,0,3,0
T000177,C0108,B0250,D0049,HK,65.83,19,0,0,3,0
T000178,C0025,B0195,D0081,MY,187.75,18,0,0,1,0
T000179,C0136,B0131,D0174,GB,500.44,0,0,0,2,0
T000180,C0076,B0141,D0102,ID,746.94,20,0,0,1,0
T000181,C0141,B0254,D0069,DE,323.61,18,0,1,3,0
T000182,C0023,B0074,D0001,SG,197.81,9,0,0,3,0
T000183,C0075,B0090,D0053,DE,313.82,14,0,1,3,0
T000184,C0105,B0233,D0118,ID,76.19,19,0,0,3,0
T000185,C0075,B0101,D0063,CN,127.33,21,0,0,6,0
T000186,C0067,B0061,D0100,MY,65.1,13,0,0,4,0
T000187,C0025,B0146,D0067,ID,42.57,0,0,0,5,0
T000188,C0058,B0085,D0058,GB,207.17,14,0,0,1,0
T000189,C0036,B0231,D0174,TH,178.67,16,0,0,3,0
T000190,C0046,B0236,D0062,ID,295.2,1,0,0,3,0
T000191,C0103,B0080,D0013,ID,256.24,19,0,0,2,0
T000192,C0095,B0138,D0068,GB,189.17,4,1,0,5,0
T000193,C0092,B0255,D0096,SG,5436.0660501931025,3,1,1,12,1
T000194,C0055,B0193,D0017,ID,142.21,13,1,0,1,0
T000195,C0144,B0056,D0055,HK,224.28,7,0,0,4,0
T000196,C0014,B0154,D0030,US,71.8,1,0,0,3,0
T000197,C0052,B0161,D0090,SG,214.8,0,0,0,3,0
T000198,C0018,B0170,D0130,SG,289.58,17,0,0,2,0
T000199,C0051,B0007,D0174,DE,75.97,9,0,0,5,0
T000200,C0145,B0078,D0070,HK,156.31,20,0,0,3,0
T000201,C0055,B0222,D0155,DE,1760.272239617246,2,1,1,22,1
T000202,C0137,B0063,D0039,HK,87.66,22,0,1,3,0
T000203,C0075,B0078,D0140,MY,48.19,22,1,0,2,0
T000204,C0105,B0084,D0101,CN,526.25,2,0,1,3,0
T000205,C0069,B0046,D0136,ID,430.82,15,0,0,5,0
T000206,C0040,B0041,D0136,NL,254.03,22,0,0,1,0
T000207,C0115,B0090,D0096,HK,21612.55841695091,1,1,1,18,1
T000208,C0146,B0227,D0047,ID,122.82,1,1,0,3,0
T000209,C0040,B0001,D0095,ID,3077.16,21,0,0,5,0
T000210,C0117,B0074,D0148,GB,2916.421455132863,23,1,1,11,1
T000211,C0040,B0016,D0174,ID,191.56,0,0,0,3,0
T000212,C0108,B0146,D0167,SG,99.71,20,0,0,1,0
T000213,C0119,B0065,D0033,ID,215.36,16,0,0,2,0
T000214,C0068,B0206,D0107,HK,342.28,1,0,0,3,0
T000215,C0111,B0152,D0019,SG,132.43,6,0,1,3,0
T000216,C0041,B0204,D0120,HK,877.19,0,0,0,3,0
T000217,C0012,B0165,D0178,ID,188.51,22,1,0,3,0
T000218,C0015,B0114,D0010,ID,194.51,0,0,1,1,0
T000219,C0068,B0223,D0118,CN,59.8,19,1,1,2,0
T000220,C0136,B0124,D0170,SG,225.54,12,0,0,2,0
T000221,C0020,B0247,D0152,CN,2075.0608263400864,4,1,1,20,1
T000222,C0069,B0258,D0071,ID,80.78,19,0,1,5,0
T000223,C0106,B0153,D0019,ID,68.27,21,0,0,3,0
T000224,C0031,B0175,D0166,ID,2146.86,3,0,0,3,0
T000225,C0109,B0067,D0165,HK,114.04,0,0,0,2,0
T000226,C0046,B0211,D0104,SG,34.57,2,0,1,1,0
T000227,C0122,B0174,D0176,DE,1123.7922642814167,23,1,1,19,1
T000228,C0087,B0234,D0001,SG,140.95,13,0,0,2,0
T000229,C0083,B0070,D0111,HK,256.38,2,0,0,2,0
T000230,C0027,B0204,D0007,CN,258.47,5,0,0,1,0
T000231,C0070,B0122,D0168,ID,291.96,12,0,0,2,0
T000232,C0129,B0048,D0122,HK,77.88,17,0,1,2,0
T000233,C0003,B0045,D0164,SG,208.6,8,0,0,5,0
T000234,C0114,B0146,D0101,SG,61.8,22,0,0,1,0
T000235,C0074,B0083,D0003,ID,79.87,23,0,0,3,0
T000236,C0108,B0027,D0005,US,59.28,18,1,0,2,0
T000237,C0100,B0111,D0061,MY,45.22,10,0,1,2,0
T000238,C0065,B0170,D0134,ID,430.18,21,0,0,4,0
T000239,C0047,B0083,D0028,CN,295.48,17,0,1,1,0
T000240,C0095,B0248,D0153,US,394.12,12,0,0,3,0
T000241,C0022,B0202,D0043,SG,154.36,10,0,0,1,0
T000242,C0088,B0133,D0089,US,322.73,19,0,0,3,0
T000243,C0015,B0243,D0037,CN,25.5,13,0,0,5,0
T000244,C0098,B0113,D0084,MY,351.81,4,0,0,4,0
T000245,C0095,B0037,D0081,TH,177.17,23,0,0,2,0
T000246,C0013,B0010,D0001,ID,277.86,1,1,0,6,0
T000247,C0114,B0243,D0102,HK,217.03,16,0,0,4,0
T000248,C0063,B0249,D0141,CN,55.31,15,0,0,4,0
T000249,C0119,B0192,D0168,ID,33.18,14,0,0,2,0
T000250,C0007,B0027,D0060,SG,72.82,1,0,1,1,0
T000251,C0027,B0077,D0158,TH,261.1,11,0,0,3,0
T000252,C0075,B0011,D0158,ID,295.92,21,0,1,1,0
T000253,C0029,B0014,D0177,HK,37.79,5,0,0,2,0
T000254,C0050,B0064,D0067,DE,55.64,16,0,0,2,0
T000255,C0100,B0149,D0153,SG,72.01,20,0,0,2,0
T000256,C0022,B0017,D0102,HK,103.82,22,1,1,2,0
T000257,C0102,B0256,D0011,TH,38.01,12,0,0,3,0
T000258,C0016,B0118,D0049,HK,802.6542980046984,1,1,1,18,1
T000259,C0027,B0069,D0121,ID,65.25,16,0,1,3,0
T000260,C0089,B0134,D0029,ID,161.78,11,1,0,5,0
T000261,C0120,B0205,D0078,MY,45.58,15,0,1,4,0
T000262,C0026,B0081,D0139,ID,132.18,17,0,0,1,0
T000263,C0045,B0013,D0027,HK,427.76,17,0,1,2,0
T000264,C0139,B0014,D0089,ID,40.38,5,0,1,3,0
T000265,C0149,B0221,D0039,SG,120.73,18,0,1,1,0
T000266,C0088,B0029,D0097,MY,413.54,13,1,0,4,0
T000267,C0068,B0165,D0044,HK,97.68,22,0,1,1,0
T000268,C0053,B0100,D0173,TH,83.62,15,0,1,2,0
T000269,C0092,B0202,D0001,ID,475.09,21,0,0,2,0
T000270,C0089,B0016,D0173,HK,109.27,23,1,0,7,0
T000271,C0045,B0233,D0142,DE,447.87,23,1,1,5,0
T000272,C0004,B0181,D0154,HK,227.91,17,0,0,7,0
T000273,C0023,B0117,D0153,ID,105.34,14,0,0,2,0
T000274,C0144,B0054,D0034,DE,239.77,2,0,0,2,0
T000275,C0063,B0254,D0167,SG,204.48,9,0,0,2,0
T000276,C0073,B0079,D0107,HK,3489.1315637486273,4,1,1,19,1
T000277,C0071,B0128,D0173,TH,85.77,18,0,0,1,0
T000278,C0118,B0103,D0158,ID,154.66,14,0,0,6,0
T000279,C0010,B0060,D0104,SG,139.56,10,0,1,5,0
T000280,C0013,B0108,D0068,ID,300.11,3,0,0,3,0
T000281,C0042,B0040,D0021,SG,53.24,17,1,0,3,0
T000282,C0073,B0001,D0019,ID,410.34,10,0,0,3,0
T000283,C0101,B0076,D0003,GB,236.59,0,0,1,2,0
T000284,C0074,B0030,D0146,ID,852.0401840050057,2,1,1,11,1
T000285,C0067,B0108,D0091,GB,496.84,21,1,0,3,0
T000286,C0141,B0224,D0087,ID,1385.88,2,0,0,2,0
T000287,C0025,B0043,D0044,SG,404.17,9,1,0,4,0
T000288,C0086,B0001,D0102,SG,618.31,12,0,0,2,0
T000289,C0082,B0029,D0115,GB,161.64,2,0,0,3,0
T000290,C0072,B0132,D0176,HK,28.18,3,0,0,3,0
T000291,C0122,B0072,D0131,SG,23.47,22,0,0,4,0
T000292,C0041,B0127,D0109,DE,191.54,14,0,0,6,0
T000293,C0144,B0008,D0163,CN,82.11,5,0,0,4,0
T000294,C0050,B0087,D0001,ID,59.47,4,0,1,2,0
T000295,C0082,B0107,D0168,MY,139.39,10,0,0,3,0
T000296,C0079,B0112,D0067,SG,274.67,17,0,0,1,0
T000297,C0128,B0143,D0023,ID,34.72,17,0,0,2,0
T000298,C0066,B0203,D0075,HK,94.74,4,0,1,4,0
T000299,C0043,B0122,D0024,ID,671.74,17,0,0,4,0
T000300,C0004,B0218,D0022,ID,50.64,21,1,0,4,0
T000301,C0055,B0138,D0002,US,354.16,5,1,0,2,0
T000302,C0124,B0068,D0143,ID,91.4,0,0,0,2,0
T000303,C0002,B0060,D0040,US,256.16,23,0,1,3,0
T000304,C0135,B0084,D0150,MY,444.67,12,0,0,2,0
T000305,C0082,B0155,D0013,CN,311.46,18,0,0,2,0
T000306,C0022,B0063,D0051,GB,368.4,7,1,1,3,0
T000307,C0046,B0237,D0127,GB,46.92,7,0,0,2,0
T000308,C0084,B0125,D0055,TH,451.99,5,0,0,4,0
T000309,C0048,B0224,D0131,SG,63.26,5,0,0,2,0
T000310,C0017,B0177,D0157,ID,192.39,11,0,0,3,0
T000311,C0100,B0087,D0012,HK,192.14,2,1,0,3,0
T000312,C0101,B0060,D0003,HK,241.08,20,0,1,3,0
T000313,C0018,B0193,D0169,ID,207.88,12,0,1,3,0
T000314,C0043,B0086,D0094,CN,63.83,21,0,1,4,0
T000315,C0037,B0064,D0091,ID,38.48,12,1,0,3,0
T000316,C0099,B0241,D0083,MY,355.08,7,0,0,2,0
T000317,C0110,B0126,D0078,ID,178.72,12,1,0,3,0
T000318,C0110,B0013,D0124,ID,468.43,3,1,1,4,0
T000319,C0141,B0129,D0104,ID,141.92,19,0,0,4,0
T000320,C0116,B0120,D0030,ID,36.41,17,1,0,3,0
T000321,C0049,B0224,D0113,ID,389.99,3,0,0,3,0
T000322,C0017,B0185,D0120,ID,102.48,13,0,1,2,0
T000323,C0093,B0050,D0021,ID,208.93,12,0,1,3,0
T000324,C0138,B0039,D0068,ID,77.68,4,0,1,2,0
T000325,C0147,B0157,D0142,SG,768.39,2,0,0,2,0
T000326,C0035,B0013,D0111,SG,61.77,18,0,0,3,0
T000327,C0036,B0083,D0025,SG,105.91,6,0,0,5,0
T000328,C0006,B0036,D0008,SG,165.25,12,0,0,2,0
T000329,C0022,B0006,D0105,ID,49.79,5,0,1,3,0
T000330,C0084,B0238,D0083,ID,206.55,15,0,0,2,0
T000331,C0083,B0024,D0173,ID,743.9,1,0,0,4,0
T000332,C0056,B0003,D0094,US,90.88,8,1,0,4,0
T000333,C0047,B0242,D0167,TH,220.33,13,1,0,2,0
T000334,C0125,B0049,D0039,MY,9.49,10,0,0,5,0
T000335,C0070,B0212,D0081,HK,142.75,14,0,0,3,0
T000336,C0122,B0009,D0025,HK,108.52,4,0,1,1,0
T000337,C0145,B0040,D0103,SG,65.46,10,0,0,3,0
T000338,C0048,B0029,D0034,US,437.66,18,0,0,4,0
T000339,C0031,B0183,D0089,US,107.1,8,0,0,2,0
T000340,C0143,B0161,D0062,DE,124.28,3,0,0,5,0
T000341,C0096,B0124,D0034,NL,101.78,20,0,0,2,0
T000342,C0044,B0063,D0018,SG,21.83,18,0,1,1,0
T000343,C0094,B0024,D0092,US,47.85,16,0,0,3,0
T000344,C0078,B0148,D0170,US,388.03,19,1,1,2,0
T000345,C0136,B0060,D0036,SG,177.91430641790774,2,1,1,15,1
T000346,C0039,B0153,D0073,MY,68.97,17,0,0,6,0
T000347,C0149,B0179,D0041,ID,99.51,12,0,0,2,0
T000348,C0141,B0221,D0145,TH,848.63,0,0,0,4,0
T000349,C0028,B0128,D0075,US,320.09,14,0,1,3,0
T000350,C0025,B0002,D0175,ID,1648.0309330763398,4,1,1,11,1
T000351,C0080,B0073,D0044,CN,547.04,18,0,0,2,0
T000352,C0007,B0222,D0015,ID,70.77,11,0,0,3,0
T000353,C0045,B0139,D0105,US,407.12,21,0,1,3,0
T000354,C0066,B0161,D0117,US,38.13,14,0,0,2,0
T000355,C0146,B0119,D0178,CN,434.09,13,0,1,4,0
T000356,C0149,B0043,D0156,DE,98.88,22,0,0,1,0
T000357,C0023,B0233,D0001,ID,53.06,11,1,1,5,0
T000358,C0134,B0201,D0114,ID,119.45,9,0,0,1,0
T000359,C0014,B0258,D0065,SG,195.85,8,0,0,1,0
T000360,C0113,B0222,D0077,ID,90.49,21,1,1,2,0
T000361,C0127,B0076,D0024,HK,258.26,18,0,0,2,0
T000362,C0134,B0066,D0078,ID,82.85,3,0,0,4,0
T000363,C0034,B0065,D0066,SG,275.99,11,0,0,3,0
T000364,C0135,B0238,D0007,SG,230.95,8,0,0,3,0
T000365,C0018,B0145,D0037,NL,139.64,15,0,0,6,0
T000366,C0078,B0118,D0096,ID,95.45,1,1,0,3,0
T000367,C0071,B0251,D0067,NL,172.7,17,1,1,1,0
T000368,C0048,B0157,D0178,SG,3040.3506797187615,23,1,1,21,1
T000369,C0004,B0236,D0086,SG,1166.54,5,0,0,4,0
T000370,C0116,B0256,D0172,HK,379.71,3,0,0,3,0
T000371,C0051,B0021,D0119,SG,393.86,15,0,1,2,0
T000372,C0100,B0094,D0008,ID,3256.84,6,0,0,2,0
T000373,C0062,B0191,D0037,HK,2663.0410810212175,23,1,1,13,1
T000374,C0057,B0211,D0127,ID,240.96,18,0,0,4,0
T000375,C0133,B0039,D0098,SG,300.07,22,0,0,4,0
T000376,C0015,B0083,D0055,CN,54.11,12,0,0,1,0
T000377,C0111,B0142,D0094,SG,95.21,22,0,0,3,0
T000378,C0113,B0207,D0162,DE,89.46,0,0,1,2,0
T000379,C0057,B0030,D0070,ID,283.61,6,1,0,2,0
T000380,C0040,B0156,D0009,TH,124.69,0,0,0,5,0
T000381,C0001,B0077,D0056,US,170.41,16,0,0,2,0
T000382,C0141,B0057,D0168,TH,440.3,12,0,0,2,0
T000383,C0143,B0134,D0137,DE,351.83,6,0,1,4,0
T000384,C0037,B0108,D0150,ID,126.25,7,1,0,2,0
T000385,C0005,B0165,D0164,HK,75.94,15,1,1,2,0
T000386,C0019,B0083,D0022,ID,8015.876794585801,4,1,1,23,1
T000387,C0011,B0214,D0051,DE,321.79,12,0,0,4,0
T000388,C0125,B0021,D0011,CN,29.78,14,0,0,2,0
T000389,C0134,B0224,D0001,ID,108.51,5,0,0,2,0
T000390,C0023,B0008,D0150,MY,175.13,5,0,1,3,0
T000391,C0113,B0191,D0168,ID,323.38,8,0,0,3,0
T000392,C0027,B0090,D0028,CN,368.74,14,0,0,3,0
T000393,C0056,B0100,D0130,GB,197.14,6,0,0,4,0
T000394,C0090,B0005,D0096,ID,266.47,9,0,0,1,0
T000395,C0108,B0182,D0013,CN,158.24,13,0,1,1,0
T000396,C0132,B0043,D0164,DE,75.65,4,0,0,4,0
T000397,C0007,B0171,D0156,ID,114.29,13,0,0,4,0
T000398,C0030,B0188,D0102,HK,151.26,3,0,0,2,0
T000399,C0043,B0219,D0127,ID,143.35,3,0,0,2,0
T000400,C0047,B0184,D0072,CN,22.52,5,0,0,3,0
T000401,C0150,B0079,D0142,ID,99.73,6,0,0,2,0
T000402,C0117,B0192,D0080,MY,156.99,0,0,0,3,0
T000403,C0049,B0214,D0178,NL,112.01,23,1,0,3,0
T000404,C0146,B0083,D0012,ID,115.95,7,0,0,3,0
T000405,C0075,B0033,D0031,SG,241.77,19,0,1,4,0
T000406,C0076,B0231,D0174,CN,50.45,21,0,0,3,0
T000407,C0066,B0039,D0052,GB,29.14,19,0,0,2,0
T000408,C0022,B0154,D0056,HK,104.78,19,0,0,4,0
T000409,C0141,B0062,D0142,ID,318.66,2,0,0,3,0
T000410,C0003,B0033,D0034,ID,802.36,8,0,1,3,0
T000411,C0027,B0202,D0092,TH,324.45,17,0,0,6,0
T000412,C0035,B0038,D0052,HK,34.18,13,0,0,2,0
T000413,C0042,B0174,D0036,NL,117.64,0,0,1,4,0
T000414,C0020,B0180,D0173,HK,191.83,13,0,1,5,0
T000415,C0003,B0016,D0036,MY,177.26,19,0,1,3,0
T000416,C0102,B0045,D0017,ID,254.5,19,0,0,5,0
T000417,C0146,B0206,D0121,ID,59.32,9,0,0,3,0
